x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,label,index
33,0,428271,9,2,8,4,3,0,0,0,35,-1.0,27962
43,1,153489,13,0,4,5,1,1,0,0,50,-1.0,24527
38,1,278924,10,2,7,3,1,1,0,0,44,-1.0,13640
24,1,96279,9,4,11,2,1,0,0,0,40,-1.0,16732
39,8,274683,10,0,4,5,1,1,7688,0,50,1.0,10669
38,1,48779,10,0,0,5,1,1,0,0,40,1.0,18594
54,1,340476,9,5,4,4,1,0,0,0,35,-1.0,8543
35,1,275522,4,3,6,4,1,0,0,0,80,-1.0,8969
35,0,205584,3,4,7,3,1,1,0,0,40,-1.0,16048
37,1,185359,9,0,8,5,1,1,0,0,40,-1.0,24520
33,1,275369,4,5,2,3,3,1,0,0,35,-1.0,1435
23,1,268145,13,4,3,3,1,0,0,0,45,-1.0,28453
49,1,94342,13,0,7,5,1,1,0,0,60,-1.0,14921
30,1,277314,9,5,11,3,3,1,0,0,40,-1.0,16086
25,1,132683,9,4,9,3,1,0,0,0,50,-1.0,8025
49,1,198759,12,0,4,5,1,1,15024,0,60,1.0,23279
67,2,39100,9,0,5,0,1,0,0,0,5,-1.0,28136
42,5,569930,13,0,8,5,1,1,0,0,45,1.0,23024
44,3,56651,10,0,3,5,1,1,7688,0,45,1.0,3012
43,0,92775,11,2,7,3,1,1,0,0,40,-1.0,15997
43,1,347934,9,5,4,3,1,0,0,0,30,-1.0,31401
64,1,114994,9,0,6,5,1,1,0,0,20,-1.0,21068
54,1,170562,10,0,3,5,1,1,0,0,48,1.0,28777
31,1,301168,10,4,7,3,1,1,0,0,40,-1.0,7303
43,5,118600,13,2,12,4,1,0,0,625,40,-1.0,31786
59,1,144071,9,0,8,5,1,1,0,0,40,1.0,2274
41,8,155767,10,0,3,5,1,1,0,0,50,-1.0,18517
33,5,33727,14,0,12,0,1,0,0,0,40,-1.0,14173
55,0,174533,13,5,6,4,1,0,0,0,72,-1.0,7993
54,1,215990,10,0,14,5,1,1,7688,0,40,1.0,545
56,4,67662,14,2,12,3,1,0,0,0,39,-1.0,30618
43,8,272165,5,0,7,5,1,1,0,0,40,-1.0,7069
51,1,84399,9,0,11,5,3,1,0,0,40,-1.0,17921
25,4,157617,9,4,3,3,1,1,0,0,40,-1.0,23329
36,1,183902,13,0,12,0,1,0,0,0,4,1.0,8454
46,1,268281,13,4,12,3,1,0,0,0,40,-1.0,11516
61,1,355645,5,0,11,5,3,1,0,0,20,-1.0,575
56,5,157525,10,2,1,3,3,1,0,0,48,-1.0,1729
69,2,323016,13,0,5,5,1,1,99999,0,40,1.0,11964
48,8,383384,9,0,7,5,1,1,0,0,40,1.0,18515
22,1,74631,10,4,2,2,1,0,0,0,13,-1.0,17002
43,8,355856,13,0,3,5,2,1,0,0,50,-1.0,15903
30,1,58582,13,4,7,2,1,1,0,0,10,-1.0,24093
20,1,41432,10,4,8,2,1,0,0,0,46,-1.0,4516
60,1,532845,2,0,7,5,1,1,0,0,40,1.0,9051
27,1,86681,13,4,6,3,1,0,0,0,40,-1.0,23685
30,1,111415,13,0,3,5,1,1,0,0,45,1.0,3166
25,1,114345,5,4,7,4,1,1,914,0,40,-1.0,18689
46,0,140664,10,0,3,5,1,1,0,0,48,1.0,26639
57,1,317847,14,2,3,3,1,1,0,2824,50,1.0,15325
21,1,296158,9,4,7,2,1,1,0,0,35,-1.0,28043
62,0,125155,9,0,8,5,1,1,0,0,38,-1.0,20108
28,1,144063,9,0,3,5,1,1,0,0,40,-1.0,20624
44,1,167005,10,0,7,5,1,1,4386,0,55,-1.0,13348
28,1,204516,6,4,0,3,1,1,0,0,45,-1.0,14074
40,3,104235,14,4,6,2,1,1,0,0,99,-1.0,3024
64,1,110150,9,0,1,5,1,1,0,0,40,-1.0,14459
34,1,206609,10,4,4,4,1,1,0,0,35,-1.0,9919
63,1,181863,13,4,4,3,1,1,0,0,27,-1.0,2712
19,1,369463,9,4,8,2,1,0,0,0,40,-1.0,28506
35,1,142616,9,5,6,2,3,0,0,0,30,-1.0,15197
47,1,275095,10,2,11,3,1,0,0,0,40,-1.0,15442
38,1,316211,9,2,7,2,1,1,0,0,40,-1.0,21047
53,1,311269,9,2,6,3,1,0,0,0,40,-1.0,31594
44,8,445382,10,2,6,4,1,1,0,0,40,-1.0,21607
40,1,271393,12,2,3,3,1,0,0,0,40,-1.0,23057
57,3,282913,9,0,4,5,1,1,0,0,40,-1.0,15949
48,1,38950,9,0,14,5,1,1,0,0,89,-1.0,22462
51,0,124076,13,3,8,3,1,0,0,0,40,-1.0,19752
34,1,48014,13,5,3,3,1,0,0,0,35,-1.0,9455
36,1,242713,9,2,8,4,3,0,0,0,40,-1.0,18303
28,1,271466,9,0,3,5,1,1,0,0,45,1.0,30380
56,1,175127,9,2,7,4,1,1,0,0,35,-1.0,2801
25,1,307643,9,0,0,5,1,1,0,0,40,-1.0,7569
50,1,44368,10,0,3,5,1,1,0,0,40,-1.0,149
61,3,102191,14,3,3,4,1,0,0,0,99,-1.0,30242
26,1,211265,10,6,7,1,3,0,0,0,35,-1.0,29831
35,1,108140,13,0,3,5,1,1,0,0,40,1.0,22639
37,1,211494,9,0,14,5,1,1,0,0,40,1.0,15343
22,1,228411,10,4,3,3,1,1,0,0,35,-1.0,6880
53,1,123092,9,3,11,3,1,0,0,0,40,-1.0,16372
45,3,170871,9,0,3,5,1,1,15024,0,55,1.0,9303
36,1,139364,13,0,4,5,1,1,0,0,50,1.0,30098
38,8,43712,7,0,3,5,1,1,0,1887,45,1.0,11694
31,1,381153,6,0,14,5,1,1,0,0,40,1.0,29246
36,1,41624,6,0,7,5,1,1,0,0,70,-1.0,12074
57,1,140426,2,6,6,3,1,1,0,0,35,-1.0,7316
25,1,124111,10,4,8,2,1,0,0,0,40,-1.0,5157
37,1,186035,12,0,7,5,1,1,0,0,55,-1.0,13968
20,1,228649,9,4,6,2,1,1,0,0,40,-1.0,15490
20,1,105686,9,4,11,3,1,1,0,0,40,-1.0,21482
49,1,165134,11,4,3,4,1,0,0,0,35,-1.0,20875
31,1,194055,9,0,0,5,1,1,0,0,50,-1.0,15734
27,1,29732,13,4,12,3,1,0,4865,0,36,-1.0,24145
35,5,107233,9,4,8,4,4,1,0,0,55,-1.0,13428
40,1,119225,11,0,12,5,1,1,0,0,40,-1.0,9229
54,1,197975,3,0,4,5,1,1,0,0,51,-1.0,9272
37,1,50837,14,0,12,5,1,1,0,0,45,1.0,30235
35,2,144172,12,0,5,0,1,0,0,0,16,-1.0,26486
65,5,240166,7,0,0,5,1,1,0,0,35,-1.0,6449
26,1,149943,9,4,6,1,2,1,0,0,60,-1.0,17781
33,1,108328,10,4,8,3,1,0,6849,0,50,-1.0,8320
30,1,116508,9,0,7,5,1,1,0,0,40,-1.0,2172
25,1,191271,9,4,8,2,1,0,0,0,40,-1.0,18628
23,1,23037,8,4,2,2,4,1,0,0,40,-1.0,14319
33,8,295621,13,0,12,5,3,1,0,0,25,1.0,392
18,1,57957,9,4,4,2,1,0,0,0,15,-1.0,11818
33,1,99309,10,2,7,4,1,1,0,0,50,-1.0,27200
36,8,285020,9,0,7,5,1,1,2885,0,40,-1.0,17770
52,1,95128,10,2,4,3,1,1,0,0,50,-1.0,18819
32,2,119522,13,2,5,3,1,1,0,0,50,-1.0,454
59,1,193335,9,0,7,5,1,1,0,0,40,1.0,5474
30,1,248384,9,2,6,4,1,0,0,0,40,-1.0,29089
34,1,379412,9,0,7,5,1,1,0,0,50,-1.0,12274
20,1,224424,8,4,11,2,1,1,0,0,40,-1.0,3076
55,5,166502,14,4,12,3,1,0,0,0,45,-1.0,2997
41,1,243607,3,0,8,5,1,1,0,0,40,-1.0,25746
21,1,180052,10,4,0,2,1,1,0,0,30,-1.0,2233
40,8,209040,13,0,4,5,1,1,0,0,40,-1.0,29838
45,1,285060,13,0,3,5,1,1,0,0,50,1.0,20708
